time (s),B_z (T)
2.4900000000000002e-05,5.1460525032425866e-05
2.5e-05,5.749465887542489e-05
2.5100000000000004e-05,5.91858156543233e-05
2.5200000000000003e-05,5.179169964488089e-05
2.5300000000000002e-05,5.368513155363384e-05
2.54e-05,6.338148492704755e-05
2.5500000000000003e-05,5.7608102294733585e-05
2.5600000000000002e-05,6.22963319710475e-05
2.57e-05,7.773121795547915e-05
2.5800000000000004e-05,8.263719220558114e-05
2.5900000000000003e-05,8.697941660121122e-05
2.6000000000000002e-05,8.785010592997225e-05
2.61e-05,9.326222993803609e-05
2.6200000000000003e-05,0.00011691695199740567
2.6300000000000002e-05,0.00011046100514367995
2.64e-05,0.00010445036642297968
2.6500000000000004e-05,0.0001063733347440015
2.6600000000000003e-05,9.793734893204731e-05
2.6700000000000002e-05,9.097253125458174e-05
2.68e-05,8.278485032945842e-05
2.6900000000000003e-05,8.239138289194502e-05
2.7000000000000002e-05,6.593903130644388e-05
2.71e-05,6.011154650465742e-05
2.7200000000000004e-05,5.067975689244496e-05
2.7300000000000003e-05,4.706707020415164e-05
2.7400000000000002e-05,5.028131265464231e-05
2.75e-05,5.343016140074682e-05
2.7600000000000003e-05,5.371688485706739e-05
2.7700000000000002e-05,5.753020461661876e-05
2.78e-05,5.464389898315712e-05
2.7900000000000004e-05,5.350044573816795e-05
2.8000000000000003e-05,4.704538197973033e-05
2.8100000000000002e-05,4.776570148134431e-05
2.82e-05,4.465860852444036e-05
2.8300000000000003e-05,3.1173498617930664e-05
2.8400000000000003e-05,3.105156774343997e-05
2.85e-05,4.832135638333245e-05
2.8600000000000004e-05,3.5592288552346094e-05
2.8700000000000003e-05,3.5746760300168465e-05
2.8800000000000002e-05,2.1390937960858366e-05
2.89e-05,3.3369418218934065e-05
2.9000000000000004e-05,4.765683823365653e-05
2.9100000000000003e-05,5.560408694197166e-05
2.92e-05,6.666132960620027e-05
2.9300000000000004e-05,6.459449577418375e-05
2.9400000000000003e-05,5.851824975774467e-05
2.9500000000000002e-05,4.7297835401304995e-05
2.96e-05,4.635937343903311e-05
2.9700000000000004e-05,5.289910406035869e-05
2.9800000000000003e-05,5.580935759926145e-05
2.9900000000000002e-05,5.340855287139704e-05
3.0000000000000004e-05,6.606756149039279e-05
3.0100000000000003e-05,5.534711851005166e-05
3.0200000000000002e-05,4.826788891664971e-05
3.03e-05,5.5106891954836336e-05
