time (s),B_z (T)
1.59e-08,2.2354377441368687e-05
1.6e-08,1.4444627747994807e-05
1.6100000000000002e-08,1.194847068584862e-05
1.62e-08,1.0180770686652846e-05
1.63e-08,3.182175620530223e-07
1.64e-08,-6.064709213984446e-06
1.6500000000000002e-08,-1.1579067616392798e-05
1.66e-08,4.450117737410106e-06
1.67e-08,1.607369430194453e-05
1.68e-08,1.3247320533429059e-05
1.69e-08,1.0760987483019334e-05
1.7e-08,3.211812216392566e-06
1.71e-08,-9.176960248938148e-06
1.7200000000000002e-08,-9.842549467997636e-06
1.73e-08,-1.6206579364745026e-05
1.74e-08,-1.6594802658446602e-05
1.75e-08,-2.679241496773007e-05
1.7600000000000002e-08,-3.146027747353511e-05
1.77e-08,-3.0184751963535843e-05
1.78e-08,-2.7512881015105393e-05
1.79e-08,-2.453562697536995e-05
1.8e-08,-3.284281525735207e-05
1.81e-08,-2.6981185671474436e-05
1.82e-08,-3.18947894601309e-05
1.8300000000000002e-08,-2.7479122135288847e-05
1.84e-08,-2.7274595043568174e-05
1.85e-08,-3.591652194377756e-05
1.86e-08,-3.7606803449106825e-05
1.8700000000000002e-08,-3.4866559510544166e-05
1.88e-08,-3.055014414787165e-05
1.89e-08,-3.115918516158086e-05
1.9e-08,-2.092953717676349e-05
1.9100000000000002e-08,-1.4196770798120927e-05
1.92e-08,-1.5717570592925785e-05
1.93e-08,-1.0703482920745968e-05
1.9400000000000002e-08,1.9260237645800673e-06
1.95e-08,1.460271309196049e-05
1.96e-08,6.505039709036179e-06
1.97e-08,4.4020069641053434e-07
1.9800000000000002e-08,1.0051969354543146e-05
1.99e-08,3.0986545885253765e-06
2e-08,-5.4967888509043445e-06
2.01e-08,-8.5906273958781e-06
2.0200000000000002e-08,-5.783813503574259e-06
2.03e-08,-6.3893718893973755e-06
2.04e-08,-1.0538765384915502e-05
2.05e-08,-1.4800018670051803e-05
2.06e-08,-1.9265761945191687e-05
2.07e-08,-2.4769658993344092e-05
2.08e-08,-9.747627028707548e-06
2.0900000000000002e-08,-7.723991954966434e-06
2.1e-08,-1.9045959921188868e-06
2.11e-08,-5.0528495865006424e-06
2.12e-08,-6.206805125036916e-06
2.1300000000000002e-08,-1.0765932905911328e-05
2.14e-08,-2.783094229742692e-05
2.15e-08,-3.647783588038902e-05
2.16e-08,-4.784021593479205e-05
2.1700000000000002e-08,-6.193351678034382e-05
2.18e-08,-6.905826351512879e-05
2.19e-08,-5.9790874701923606e-05
2.2000000000000002e-08,-5.948370863427438e-05
2.21e-08,-5.0534305996295096e-05
2.22e-08,-4.7370009377520796e-05
2.23e-08,-4.183091662576327e-05
2.2400000000000002e-08,-4.724878855038036e-05
2.25e-08,-4.338561426480117e-05
2.26e-08,-3.8234857761876684e-05
2.27e-08,-4.158871046297685e-05
2.2800000000000002e-08,-3.755138227656277e-05
2.29e-08,-3.351117852206147e-05
2.3e-08,-3.6736570908567514e-05
2.3100000000000002e-08,-4.3641944153742165e-05
2.32e-08,-5.087596683868075e-05
2.33e-08,-4.9809543417849744e-05
2.34e-08,-4.719625508421104e-05
2.3500000000000002e-08,-5.1858942861573475e-05
2.36e-08,-5.1170774406231604e-05
2.37e-08,-4.696689005714161e-05
2.38e-08,-4.2496235781802185e-05
2.3900000000000002e-08,-3.202360920499927e-05
2.4e-08,-2.3435400481779878e-05
2.41e-08,-2.968645269687825e-05
2.42e-08,-1.8488373394760532e-05
2.4300000000000003e-08,-2.1742948577410708e-05
2.44e-08,-1.4760136702760397e-05
2.45e-08,-1.417299798387519e-05
2.4600000000000002e-08,-1.670100223165091e-05
2.47e-08,-2.824124372579954e-05
2.48e-08,-2.907126901056925e-05
2.49e-08,-3.8880376253983204e-05
2.5000000000000002e-08,-3.22294009249176e-05
2.51e-08,-2.208615309277814e-05
2.52e-08,-2.7027088300853223e-05
2.53e-08,-2.4802639439789676e-05
2.5400000000000002e-08,-2.925339401336978e-05
2.55e-08,-3.3032306549905894e-05
2.56e-08,-2.768809857154386e-05
2.5700000000000002e-08,-2.7662166361274993e-05
2.58e-08,-1.6121179615308948e-05
2.59e-08,-1.9083648541995095e-05
2.6e-08,-1.2422185705690873e-05
2.6100000000000002e-08,-1.1667745788700563e-05
2.62e-08,-6.398290709314065e-06
2.63e-08,-9.23036383157587e-06
2.64e-08,-9.459457023377178e-06
2.6500000000000002e-08,-1.011329018012671e-05
2.66e-08,-1.5426862787858262e-05
2.67e-08,-1.0985805555695294e-05
2.6800000000000002e-08,-6.665563562314434e-06
2.69e-08,-2.7554539748380098e-06
2.7e-08,7.225160994398915e-06
2.71e-08,1.6539045479514474e-05
2.7200000000000002e-08,1.3946384213234057e-05
2.73e-08,1.6223455624749657e-05
2.74e-08,1.2023669312896346e-05
2.75e-08,1.2055277916438519e-05
2.7600000000000002e-08,8.051423319984065e-06
2.77e-08,1.8462683438279596e-05
2.78e-08,2.0634240496614644e-05
2.7900000000000002e-08,1.9016996952108157e-05
