time (s),P(t),P_std
2.84e-06,0.02982688959037303,7.980230792051356e-17
2.8500000000000002e-06,0.029290317822562133,7.913016766816421e-17
2.86e-06,0.028018218940297445,7.750385217016096e-17
2.87e-06,0.025959525620518585,7.980230792051356e-17
2.88e-06,0.023642137939955482,7.962190524977581e-17
2.89e-06,0.020949340782541397,7.83998802285249e-17
2.9e-06,0.017883839410389634,7.913016766816421e-17
2.91e-06,0.014590112681643794,7.931168885497247e-17
2.92e-06,0.011157120819652405,7.887012697917711e-17
2.93e-06,0.00782840254506124,7.887012697917711e-17
2.9400000000000002e-06,0.0059273021763801515,7.837367267966345e-17
2.95e-06,0.007178661449033116,7.776846151682843e-17
2.96e-06,0.010260436327348854,7.795315362787196e-17
2.97e-06,0.01324181267702194,8.00849767776001e-17
2.9800000000000003e-06,0.016059751938831444,7.818997388068908e-17
2.99e-06,0.01781533063397852,7.82425032610722e-17
3e-06,0.018908462643745915,7.505304724888782e-17
3.01e-06,0.019527782570611624,7.881801588859915e-17
3.02e-06,0.019451552683048996,8.046883411414097e-17
3.0300000000000002e-06,0.01954389395319205,7.67313249939124e-17
3.04e-06,0.019203529582709947,7.99566148153398e-17
3.05e-06,0.018573340220405587,7.897424600402098e-17
3.06e-06,0.017188897840437783,7.768917334513442e-17
3.0700000000000003e-06,0.015503563807072265,7.808480910696226e-17
3.08e-06,0.013918669573027478,7.897424600402098e-17
3.09e-06,0.012845639599772161,8.013626399180835e-17
3.1e-06,0.011659221626740551,7.705193081226271e-17
3.11e-06,0.01036938501456877,8.105388470822197e-17
3.12e-06,0.00860929793451125,7.860922607576835e-17
3.13e-06,0.007108145244265812,8.110455922690037e-17
3.14e-06,0.005919724004316316,7.915612475190917e-17
3.15e-06,0.005530509616826767,8.107922592650823e-17
3.1600000000000002e-06,0.0061446745533858685,7.632867401639449e-17
3.17e-06,0.007564449688690415,7.928578270080921e-17
3.18e-06,0.009168533648145386,8.097781347165198e-17
3.19e-06,0.010906764625494279,7.837367267966345e-17
3.2e-06,0.012608000107380573,8.059638029359178e-17
3.21e-06,0.014702035085436401,8.125639316803293e-17
3.22e-06,0.01643930325083104,7.729151245013876e-17
3.23e-06,0.018373999153294737,7.920801340038683e-17
3.24e-06,0.020267805812937544,7.776846151682843e-17
3.2500000000000002e-06,0.022232408985143177,7.951863425268428e-17
3.26e-06,0.0243610380123049,7.987949862814951e-17
3.27e-06,0.02607091640085511,7.876587032160195e-17
3.28e-06,0.028108069937128437,7.75833297355704e-17
3.2900000000000003e-06,0.029862225757970946,8.074916977726412e-17
3.3e-06,0.03113969479983814,7.818997388068908e-17
3.31e-06,0.031814492644605744,7.570711667007544e-17
3.32e-06,0.031145528384307914,8.110455922690037e-17
3.33e-06,0.02919507183171145,7.768917334513442e-17
3.34e-06,0.026152732391183826,7.980230792051356e-17
3.35e-06,0.022239676007446522,7.753035374459599e-17
3.36e-06,0.017568637893575538,7.795315362787196e-17
3.37e-06,0.012220947887522923,7.863535511955984e-17
3.3800000000000002e-06,0.006425431278145035,7.627482662061554e-17
3.39e-06,0.0005262144784941918,7.918207332652912e-17
3.4e-06,0.005957117403536749,8.13069414734929e-17
