tau_c,xi,T2,T2_echo,echo_gain,echo_gain_err,method_used,T2_echo_used
8.887927898050809e-05,782.1376550284712,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0001132193013221,996.3298516353564,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0001442249570307,1269.1796218705188,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.0001837216621865,1616.750627242003,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.000234034731932,2059.5056410022303,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.000298126280258,2623.5112662709394,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.6191578480202085e-09,fallback_fitting,1.6070608663330626e-07
0.0003797696104623,3341.972572068862,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0004837713632823,4257.187996884754,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0006162545013729,5423.039612081582,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.0007850187904584,6908.165356034691,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.001,8800.0,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.6191578480202085e-09,fallback_fitting,1.6070608663330626e-07
